question,category,ground_truth_answer,source_doc_id,source_context
Apa definisi dan unsur-unsur tindak pidana pencucian uang berdasarkan Undang-Undang Nomor 8 Tahun 2010?,out-of-domain,NONE,NONE,NONE
Kapan Keputusan Rektor tentang Penerima Program Pengembangan Pusat Unggulan Universitas Tahun 2026 mulai berlaku?,factual,"Keputusan Rektor ini mulai berlaku pada tanggal ditetapkan, yaitu 2 Juni 2026.",1c2e1b9d-bb98-4fd7-be6b-35051bca8584,KEEMPAT : Keputusan Rektor ini mulai berlaku pada tanggal ditetapkan. Ditetapkan di Bandung pada tanggal 2 Juni 2026
Bagaimana prosedur pengajuan permohonan hak cipta atas karya seni lukis di Direktorat Jenderal Kekayaan Intelektual?,out-of-domain,NONE,NONE,NONE
Apa saja persyaratan untuk mendirikan partai politik baru di Indonesia menurut Undang-Undang Nomor 2 Tahun 2011?,out-of-domain,NONE,NONE,NONE
Bagaimana mekanisme pemilihan Ketua RT dan RW di lingkungan kelurahan berdasarkan Peraturan Daerah Kota Bandung?,out-of-domain,NONE,NONE,NONE
Berapa batas maksimum emisi gas buang kendaraan bermotor roda empat yang diizinkan berdasarkan peraturan Kementerian Lingkungan Hidup terbaru?,out-of-domain,NONE,NONE,NONE
Apa saja kewajiban perusahaan asuransi dalam melaporkan kondisi keuangannya kepada Otoritas Jasa Keuangan?,out-of-domain,NONE,NONE,NONE
Surat dari direktorat mana yang menjadi dasar permohonan penetapan Keputusan Rektor tentang Pengurus UKM Putra Putri Bumi Siliwangi UPI Tahun 2026?,factual,Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor 541/UN40.F11/KM.05.00/2026 tanggal 31 Maret 2026,76acf0b0-7acb-44c7-baa3-831b3049bec2,"bahwa sesuai Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor 541/UN40.F11/KM.05.00/2026 tanggal 31 Maret 2026 hal Permohonan SK UKM Putra Putri Bumi Siliwangi (PPBS) UPI Tahun 2026, perlu menetapkan Keputusan Rektor dimaksud;"
Bagaimana prosedur pengajuan permohonan visa pelajar ke Kedutaan Besar Australia untuk mahasiswa Indonesia?,out-of-domain,NONE,NONE,NONE
Apa saja syarat pendirian Perseroan Terbatas (PT) berdasarkan Undang-Undang Nomor 40 Tahun 2007?,out-of-domain,NONE,NONE,NONE
Bagaimana tata cara pengurusan akta kelahiran di Dinas Kependudukan dan Pencatatan Sipil Kota Bandung?,out-of-domain,NONE,NONE,NONE
Sebutkan pasal-pasal dalam KUHP yang mengatur tentang tindak pidana penipuan!,out-of-domain,NONE,NONE,NONE
Apa wewenang dan tugas Otoritas Jasa Keuangan (OJK) dalam mengawasi bank syariah di Indonesia?,out-of-domain,NONE,NONE,NONE
Apa nama peraturan rektor yang mengatur tentang pembagian insentif income generating unit di lingkungan Universitas Pendidikan Indonesia?,factual,Peraturan Rektor Universitas Pendidikan Indonesia Nomor 29 Tahun 2025 tentang Pembagian Insentif Income Generating Unit di Lingkungan Universitas Pendidikan Indonesia,3f3e6611-c3a4-48b2-b760-3bb6040cbcfe,"PERATURAN REKTOR UNIVERSITAS PENDIDIKAN INDONESIA
NOMOR 29 TAHUN 2025
TENTANG
PEMBAGIAN INSENTIF INCOME GENERATING UNIT
DI LINGKUNGAN UNIVERSITAS PENDIDIKAN INDONESIA"
Bagaimana prosedur pengajuan cuti melahirkan bagi pegawai negeri sipil di lingkungan Kementerian Pendidikan dan Kebudayaan?,out-of-domain,NONE,NONE,NONE
Apa saja syarat dan ketentuan pengajuan kredit usaha rakyat (KUR) di Bank BRI?,out-of-domain,NONE,NONE,NONE
Bagaimana mekanisme pemilihan kepala daerah menurut Undang-Undang Nomor 10 Tahun 2016?,out-of-domain,NONE,NONE,NONE
Apa sanksi hukum bagi pelanggaran lalu lintas berdasarkan Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan?,out-of-domain,NONE,NONE,NONE
Bagaimana tata cara pendaftaran merek dagang di Direktorat Jenderal Kekayaan Intelektual?,out-of-domain,NONE,NONE,NONE
Apa kepanjangan dari Karil menurut Peraturan Rektor ini?,factual,Karya ilmiah,afd4bfd8-1d1b-4045-8075-daf6241f9bd4,"1. Karya ilmiah yang selanjutnya disingkat Karil adalah tulisan hasil pokok pikiran, pengembangan dan hasil kajian/ penelitian yang disusun oleh Dosen baik perorangan a tau kelompok, yang mem bahas suatu pokok bahasan ilmiah di bidang pendidikan, penelitian, serta pengabdian pada masyarakat dengan menuangkan gagasan tertentu melalui identifikasi, tinjauan pustaka, metodologi, sintesis, deskripsi, analisis dan evaluasi, kesimpulan dan saran saran, pemecahannya."
Surat dari Kepala Badan Pengelola dan Pengembangan Usaha dengan nomor berapa yang menjadi dasar pertimbangan penerbitan Keputusan Rektor ini?,factual,Surat Kepala Badan Pengelola dan Pengembangan Usaha Nomor B-1001/UN40.H1/KP.02.00/2024 tanggal 31 Desember 2024,f4094b24-4045-4848-97f3-99e6dd4958e6,"a. bahwa sesuai Surat Kepala Badan Pengelola dan Pengembangan Usaha Nomor B-1001/UN40.H1/KP.02.00/2024 tanggal 31 Desember 2024 hal Usulan Pranata Arsip, Pengelola dan Operator Sistem di Lingkungan BPPU Tahun 2025, perlu menetapkan Keputusan Rektor dimaksud;"
Siapa nama Kuasa Pengguna Anggaran (KPA) Dana Non-PNBP yang ditetapkan dalam Keputusan Rektor tentang Pejabat Perbendaharaan di lingkungan Universitas Pendidikan Indonesia Tahun 2026?,factual,"Prof. Dr. Rudi Susilana, M.Si.",b62ade5a-33a5-43b2-a295-b9704a2428ae,"| 1. | **Kuasa Pengguna Anggaran (KPA) Dana Non-PNBP:** | |
| | Nama | : Prof. Dr. Rudi Susilana, M.Si. |
| | NIP | : 196610191991021001 |
| | Pangkat/Gol | : Pembina Utama Muda -IV/c |
| | Jabatan | : Wakil Rektor Bidang Perencanaan dan Keuangan |"
Siapa yang menetapkan Keputusan Rektor Nomor 886/UN40.R5/KM.06.01/2026 tentang Pengurus Unit Kegiatan Mahasiswa Himpunan Pengusaha Muda Indonesia Universitas Pendidikan Indonesia Tahun 2026?,factual,Rektor Universitas Pendidikan Indonesia,35d0e300-32cf-4793-8007-468513630cb5,"REKTOR UNIVERSITAS PENDIDIKAN INDONESIA,

Menimbang

:

a. bahwa untuk ketertiban dan kelancaran Organisasi resmi bagi Himpunan Pengusaha Muda Indonesesia (HIPMI) Universitas Pendidikan Indonesia Tahun 2026, perlu menetapkan Keputusan Rektor dimaksud;

b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a, perlu menetapkan Keputusan Rektor tentang Pengurus Unit Kegiatan Mahasiswa Himpunan Pengusaha Muda Indonesia Universitas Pendidikan Indonesia Tahun 2026;"
"Berdasarkan Keputusan Rektor UPI Nomor 1025/UN40.R1/KM.05.01/2026, surat dari direktur mana yang menjadi dasar permohonan pembuatan SK Rektor tentang P2MW Tahun 2026 Lolos Didanai?",factual,Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor B-907/UN40.F11/KM.05.01/2026 tanggal 26 Mei 2026,13494445-ff93-4f51-9ec5-c54524a403d2,"b. bahwa sesuai dengan Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor B- 907/UN40.F11/KM.05.01/2026 tanggal 26 Mei 2026 hal Permohonan Pembuatan Surat Keputusan Rektor tentang P2MW Tahun 2026 Lolos Didanai, perlu menetapka Keputusan Rektor dimaksud;"
Surat dengan nomor berapa yang menjadi dasar permohonan penetapan SK Rektor tentang Arsip Statis Tahun Penyerahan 2023 berdasarkan keputusan ini?,factual,Surat Nomor B-23/UN40.II/TA.02.03/2025 tanggal 24 Januari 2025,097b450b-b34a-49eb-be3b-ad30e9a4b246,"bahwa sesuai dengan Surat Nomor B-23/UN40.II/TA.02.03/2025 tanggal 24 Januari 2025 hal Permohonan Penetapan SK Rektor tentang Penetapan Arsip Statis Tahun Penyerahan 2023, perlu menetapkan Keputusan Rektor dimaksud;"
"Berdasarkan Keputusan Rektor UPI Nomor 316/KM.02.03/2026, surat dari pihak manakah yang menjadi salah satu pertimbangan penerbitan keputusan ini?",factual,"Surat Direktur Pendidikan Universiti Teknologi MARA (UiTM) dengan Nomor B-710/UN40.F1/TM.01.03/2025, tanggal 29 Januari 2025.",263da50a-3650-4d10-a93c-26df6cb0e3b5,"b. Berdasarkan surat Direktur Pendidikan UiTM (Nomor B-710/UN40.F1/TM.01.03/2025, tanggal 29 Januari 2025), yang memohon penerbitan keputusan rektor, maka diperlukan keputusan resmi ini."
Siapa yang menjabat sebagai Patron dalam susunan panitia International Conference on Advances in Chemistry and Chemistry Education tahun 2026?,factual,"Prof. Dr. H. Didi Sukyadi, M.A.",60aada38-3ade-4ae7-b289-a34cf17ea6ed,"1. Patron
: Prof. Dr. H. Didi Sukyadi, M.A."
Apa saja cakupan Program Pengembangan Dosen dan Kapasitas Institusi di lingkungan Universitas Pendidikan Indonesia berdasarkan Pasal 3?,factual,"Program Penelitian, Program Pengabdian kepada Masyarakat, Program Pengembangan Diri Dosen, Program Pengembangan Fakultas, Kampus Daerah, dan Lembaga, serta Program Insentif Diseminasi Kepakaran dan Peningkatan.",fcffe865-c5cb-4ed8-9827-00cf9d915516,"Pasal 3

Program Pengembangan Dosen dan Kapasitas Institusi di lingkungan Universitas Pendidikan Indonesia mencakup: (A). Program Penelitian, (B). Program Pengabdian kepada Masyarakat, (C). Program Pengembangan Diri Dosen Program, (D). Pengembangan Fakultas, Kampus Daerah, dan Lembaga, dan (E). Program lnsentif Diseminasi Kepakaran dan Peningkatan, sebagaimana terinci pacta lampiran yang merupakan bagian yang tak terpisahkan dari Peraturan Rektor ini."
Apa kepanjangan dari PMP2K dalam Peraturan Rektor Universitas Pendidikan Indonesia Nomor 023 Tahun 2022?,factual,Program Mandiri Penguatan Profesional Keilmuan,1418b51e-46e6-4dc5-bdd1-163df7ecc4b5,"Dengan Pcraturan Rektor ini, Universitas Pendidikan Indonesia menetapkan Pedoman Program Mandiri Penguatan Profesional Keilmuan (PMP2K)."
Apa langkah yang harus dilakukan oleh Direktur Kampus UPI di Tasikmalaya untuk mendapatkan Keputusan Rektor tentang Tim Pengelola Jurnal Pedadidaktika?,procedural,Mengajukan surat permohonan penerbitan Surat Keputusan Rektor.,21cf1b1f-303e-481c-8f0a-a44bd0656356,"a. bahwa sesuai dengan Surat Direktur Kampus Universitas Pendidikan Indonesia di Tasikmalaya Nomor B-1031/UN40.C3/HK.00.05/2026 tanggal 9 Februari 2026 hal Permohonan Penerbitan Surat Keputusan Rektor UPI tentang Tim Pengelola Jurnal PEDADIDAKTIKA Tahun 2026, perlu menetapkan Keputusan Rektor dimaksud;"
Siapa yang menjabat sebagai Manajer pada Teaching Factory Program Studi Pendidikan Tata Boga berdasarkan Keputusan Rektor ini?,factual,"Dr. Yulia Rahmawati, M.Si.",89bad628-1aff-416f-b788-a933d77c8f5c,"I. Teaching Factory Program Studi Pendidikan Tata Boga

Penanggung Jawab

: Dr. Rita Patriasih, S.Pd., M.Si.

Manajer

: Dr. Yulia Rahmawati, M.Si.

Bendahara

: Muktiarni, S.Pd., M.Pd.

Sekretaris

: Dra. Tati Setiawati, M.Pd., M.M."
Siapa yang bertindak untuk dan atas nama Universitas Pendidikan Indonesia dalam Perjanjian Kerja Sama tentang Penyelenggaraan Program Beasiswa Talenta Digital?,factual,"Bunyamin Maftuh, selaku Wakil Rektor bidang Riset, Usaha, dan Kerja Sama",bf7f8063-5221-45f7-b84f-37176057f953,"Bunyamin Maftuh, selaku Wakil Rektor bidang Riset, Usaha, dan Kerja Sama, diangkat berdasarkan Keputusan Rektor UPI No0232/UN40/KP.09.04/2022 Tgl. 07 Feb 2022 tentang Penugasan Wakil Rektor Dan Sekretaris Universitas UPI masa bakti 2020 — 2025, dan Surat Kuasa Rektor Nomor 3546/UN40./HK.07.00/2022 Tanggal 22 Juni 2022 oleh karenanya sah bertindak untuk dan atas nama Universitas Pendidikan Indonesia, berkedudukan di Jalan Dr. Setiabudhi Nomor 229 Kota Bandung, untuk selanjutnya dalam Perjanjian Kerja Sama ini disebut PIHAK KEDUA."
"Berdasarkan Keputusan Rektor UPI Nomor 497/UN40/TM.01.03/2026, tim yang diangkat bertanggung jawab atas kegiatan yang berkaitan dengan penilaian seleksi apa?",factual,Penilaian seleksi akademik dan verifikasi portofolio jalur SNBP Tahun 2026.,9e79766d-6cb3-4b65-8f0e-2b8235ec8b0e,"a. bahwa dalam rangka penyelenggaraan penerimaan calon mahasiswa baru Universitas Pendidikan Indonesia jalur Seleksi Nasional Berdasarkan Prestasi (SNBP) Tahun 2026 perlu mengangkat tim yang merancang, melaksanakan, dan mempertanggungjawabkan kegiatan-kegiatan yang berkaitan dengan penilaian seleksi akademik dan verifikasi portofolio jalur SNBP Tahun 2026;"
Kapan Keputusan Rektor tentang Pengelola Website dan Pengelola Media Sosial pada FPMIPA UPI Tahun 2026 mulai berlaku surut?,factual,2 Januari 2026,fe110cc6-4656-4dc2-a424-147f14f5fc6d,KETIGA | Keputusan Rektor ini mulai berlaku pada tanggal ditetapkan dan berlaku surut sejak 2 Januari 2026.
Siapa yang membentuk Panitia dan Tim Uji dalam pemilihan Wakil Dekan I Fakultas Pendidikan Bahasa dan Sastra Pengganti Antarwaktu Masa Bakti 2013-2017?,factual,Rektor,907a1c69-ebf8-4636-a93d-a331ee8efa9a,a. Rektor membentuk Panitia dan Tim Uji;
Apa nomor Keputusan Rektor yang menetapkan Panitia Webinar pada Program Studi Keperawatan Kampus UPI di Sumedang Tahun 2026?,factual,Nomor 888/UN40/KP.06.00/2026,ed6ae60f-8c57-48e1-a930-74de9b122d1b,KEPUTUSAN REKTOR UNIVERSITAS PENDIDIKAN INDONESIA NOMOR 888/UN40/KP.06.00/2026 TENTANG PANITIA WEBINAR PADA PROGRAM STUDI KEPERAWATAN KAMPUS UNIVERSITAS PENDIDIKAN INDONESIA DI SUMEDANG TAHUN 2026
Apa alasan diterbitkannya Peraturan Rektor Universitas Pendidikan Indonesia Nomor 069 Tahun 2020 tentang Tata Kelola Staf Ahli dan Tenaga Ahli pada Kantor Staf Ahli UPI?,factual,Untuk memberikan kepastian dan kedudukan bagi Staf Ahli dan Tenaga Ahli di Kantor Staf Ahli.,95db69fb-1f66-40f6-a6f9-7a98254ed8ea,"a. Untuk memberikan kepastian dan kedudukan bagi Staf Ahli dan Tenaga Ahli di Kantor Staf Ahli, maka diperlukan adanya peraturan rektor.
b. Berdasarkan pertimbangan dalam huruf a, maka perlu ditetapkan Peraturan Rektor tentang Tata Kelola Staf Ahli dan Tenaga Ahli pada Kantor Staf Ahli UPI."
Apa nomor Keputusan Rektor yang diubah oleh Keputusan Rektor Nomor 753/UN40/KP.06.00/2026?,factual,622/UN40/KP.06.00/2026,f672174b-cef8-448b-aea5-29e8a640d0ec,KEPUTUSAN REKTOR UNIVERSITAS PENDIDIKAN INDONESIA NOMOR 753/UN40/KP.06.00/2026 TENTANG PERUBAHAN ATAS KEPUTUSAN REKTOR NOMOR 622/UN40/KP.06.00/2026 TENTANG TIM PENYUSUN REVISI STATUTA UNIVERSITAS PENDIDIKAN INDONESIA
"Siapa yang menggantikan Mega Rahmawati, S.Pd. sebagai Operator Sintag pada FPEB berdasarkan keputusan rektor yang berlaku surut sejak 2 Januari 2025?",multi-hop,Yuliani S.E.,89e9fe9c-6496-4194-9b4d-f1958419c180,"KESATU : Mengubah Operator Sintag pada FPEB dalam Lampiran Keputusan Rektor Nomor 3038/UN40/KP.09.00/2024 tentang Pengelola Sistem Pengendalian Tagihan Universitas Pendidikan Indonesia Tahun 2025 dari semula oleh: Mega Rahmawati, S.Pd. menjadi oleh: Yuliani S.E. KEDUA : Keputusan Rektor ini mulai berlaku pada tanggal ditetapkan dan berlaku surut sejak 2 Januari 2025."
Siapa saja anggota yang ditugaskan dalam Area Penataan Tatalaksana pada Tim Pelaksana Pembangunan Zona Integritas di Kampus UPI Sumedang Tahun 2026?,procedural,"Anggota Area Penataan Tatalaksana adalah Dr. Cucun Sunaengsih, S.Pd., M.Pd.; Ria Inriyana, S.Kep., Ners., M.Kep.; dan Sidqia Nurfadilah, S.Pd., M.Pd.",32a79ff2-181b-47cd-987d-ff31cc72345a,"2. Area Penataan Tatalaksana

Koordinator

: Dr. Tedi Supriyadi, S.HI., M.Ag.

Anggota

: a. Dr. Cucun Sunaengsih, S.Pd., M.Pd.

b. Ria Inriyana, s.Kep., Ners., M.Kep.

c. Sidqia Nurfadilah, S.Pd., M.Pd."
Peraturan Rektor tentang Penegakan Disiplin Mahasiswa Universitas Pendidikan Indonesia ini ditetapkan untuk melaksanakan ketentuan dari peraturan apa?,factual,Peraturan Senat Akademik Nomor 001 / Senat AKD/ UPI-HK/2014 tentang Disiplin Mahasiswa Universitas Pendidikan Indonesia,84104696-cdbe-4905-a95a-a3372bd062f9,"bahwa untuk melaksanakan ketentuan Pasal 34 ayat (3), Pasal 36 ayat (2), dan Pasal 37 ayat (5), Peraturan Senat Akademik Nomor 001 / Senat AKD/ UPI-HK/2014 tentang Disiplin Mahasiswa Universitas Pendidikan Indonesia, perlu menetapkan Peraturan Rektor tentang Penegakan Disiplin Mahasiswa Universitas Pendidikan Indonesia;"
Surat dari Wakil Rektor Bidang Perencanaan dan Keuangan dengan nomor berapa yang menjadi dasar usulan penetapan Tim Kerja Pengadaan Tanah Pengembangan Kampus UPI di Padasuka?,factual,Surat Wakil Rektor Bidang Perencanaan dan Keuangan Nomor 2184/UN40.R3/KP.09.00/2026 tanggal 17 Maret 2026,9158b114-f9e8-4413-8026-114805cc38ac,"c. bahwa berdasarkan surat Wakil Rektor Bidang Perencanaan dan Keuangan Nomor 2184/UN40.R3/KP.09.00/2026 tanggal 17 Maret 2026 perihal Usulan SK Rektor Tim Kerja Pengadaan Tanah Pengembangan Kampus UPI di Padasuka Bandung, dipandang perlu untuk menetapkan Tim Kerja dimaksud;"
Siapa yang diangkat sebagai Operator Program Kreativitas Mahasiswa pada Kampus UPI di Purwakarta Tahun 2026?,factual,"Agis Maulana Yusuf, S.Pd., M.Pd. NIPT 92019021986062101",4634dfc1-3872-4ed2-bdcc-7f056793e7b8,"Mengangkat saudara Agis Maulana Yusuf, S.Pd., M.Pd. NIPT 92019021986062101 sebagai Operator Program Kreativitas Mahasiswa pada Kampus Universitas Pendidikan Indonesia di Purwakarta Tahun 2026."
Surat dari direktorat apa yang menjadi salah satu pertimbangan penerbitan Keputusan Rektor Nomor 1004/UN40.R1/HK.00.03/2026?,factual,"Surat Direktur Direktorat Pelatihan, Asesmen, dan Sertifikasi Nomor 0200/UN40.F10/JM.02.00/2026 tanggal 19 Mei 2026 perihal Permohonan Penerbitan Surat Keputusan Rektor terkait Relisensi LSP P1 UPI",af7423ca-a142-4dea-b4b7-790be7b84a6e,"Menimbang : a. bahwa untuk keabsahan penandatangan sertifikat kompetensi Lembaga Sertifikasi Profesi Pihak Kesatu Universitas Pendidikan Indonesia, perlu menetapkan Keputusan Rektor

b. bahwa sesuai dengan Surat Direktur Direktorat Pelatihan, Asesmen, dan Sertifikasi Nomor 0200/UN40.F10/JM.02.00/2026 tanggal 19 Mei 2026 perihal Permohonan Penerbitan Surat Keputusan Rektor terkait Relisensi LSP P1 UPI, perlu menetapkan Keputusan Rektor dimaksud;

c. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, perlu menetapkan Keputusan Rektor tentang Penunjukan Penandatangan Sertifikasi kompetensi Lembaga Sertifikasi Profesi Pihak Kesatu Universitas Pendidikan Indonesia;"
