question_1,question_2,question_3
Kapan pengumuman pembagian dosen pembimbing akademik?,Kpn pgmmn dospem?,Pembagian dosen pembimbing keluar kapan?
Di mana lokasi klinik layanan kesehatan kampus?,Dmn klnk kmps?,Klinik kesehatan kampus letaknya di sebelah mana?
Bagaimana prosedur aktivasi alamat email resmi mahasiswa?,Gmn aktvs emal kmps?,Gimana cara ngaktifin email student kampus?
Apakah tersedia moda transportasi antar jemput internal kampus?,Ada bus/tprt kmps gk?,Ada bis kampus keliling gak ya?
Di mana mahasiswa dapat membeli buku teks perkuliahan?,Dmn beli bku matkul?,Tempat beli modul kuliah di mana ya?
Berapa nilai minimum kelulusan tes Bahasa Inggris kampus?,Brp min skor toefl kmps?,Berapa standar skor toefl yang harus dicapai?
Bagaimana proses penentuan golongan tarif UKT mahasiswa?,Gmn penetapan glgn ukt?,Penentuan kelompok UKT itu dasarnya dari apa?
Kapan batas waktu perbaikan data pribadi pada portal mahasiswa?,Kpn ddl rvs dta mhs?,Batas benerin data biodata mahasiswa kapan?
Kapan jam operasional fasilitas laboratorium komputer?,Jm brp lab kom buka?,Jam operasional lab komputer sampai jam berapa?
Bagaimana tata cara menyewa loker penyimpanan di kampus?,Gmn sewa lkr kmps?,Mau nyewa loker kampus gimana caranya?
Kapan pembekalan materi orientasi perkuliahan dilaksanakan?,Kpn pmbkln pkkmb?,Kapan acara pembekalan mahasiswa baru digelar?
Apa syarat memperoleh keringanan biaya pendidikan?,Syrt potngn ukt ap aj?,Kalo mau minta potongan UKT syaratnya apa?
Di mana gedung tempat pelaksanaan tes seleksi masuk kampus?,Dmn gdg tes msk?,Tes ujian masuk lokasi gedungnya di mana?
Apakah ijazah kelulusan sekolah menengah atas wajib dilegalisir?,Wjb lglsr ijz sma gk?,Ijazah SMA perlu dilegalisir dulu gak buat daftar?
Bagaimana cara penggantian kartu tanda mahasiswa yang hilang?,Gmn urus ktm hlng?,Kartu mahasiswa ilang ngurusnya gimana ya?
Apakah ada sanksi keterlambatan pembayaran uang kuliah per semester?,Ada dnd/snks telat bayr ukt gk?,Kalo telat bayar UKT dapet denda atau sanksi apa?
